species_pair,phylogeny,group,total,positive,negative
223_1-66_5,1.86271234,IBD,189,0,189
223_1-66_5,1.86271234,non-IBD,253,0,253
224_1-335_1,1.7403169809999997,IBD,32,0,32
224_1-335_1,1.7403169809999997,non-IBD,126,0,126
224_1-338_1,1.7744827629999995,IBD,85,0,85
224_1-338_1,1.7744827629999995,non-IBD,36,0,36
224_1-45_1,2.315014310999999,IBD,46,0,46
224_1-45_1,2.315014310999999,non-IBD,13,0,13
224_1-48_2,2.245859687,IBD,14,0,14
224_1-48_2,2.245859687,non-IBD,27,0,27
224_1-66_5,1.857361864,IBD,99,0,99
224_1-66_5,1.857361864,non-IBD,55,0,55
226_1-226_2,0.0074782500000001,IBD,22,2,20
226_1-226_2,0.0074782500000001,non-IBD,28,0,28
226_1-229_3,0.5045252279999999,IBD,39,0,39
226_1-229_3,0.5045252279999999,non-IBD,37,0,37
226_1-318_56,1.6019864519999998,IBD,17,0,17
226_1-318_56,1.6019864519999998,non-IBD,34,0,34
226_1-326_1,1.6516421379999997,IBD,202,0,202
226_1-326_1,1.6516421379999997,non-IBD,16,0,16
226_1-32_1,2.2150231019999995,IBD,72,0,72
226_1-32_1,2.2150231019999995,non-IBD,127,0,127
226_1-335_1,1.7326379049999996,IBD,230,0,230
226_1-335_1,1.7326379049999996,non-IBD,1067,2,1065
226_1-338_1,1.7668036869999997,IBD,179,0,179
226_1-338_1,1.7668036869999997,non-IBD,230,0,230
226_1-39_5,2.224797688,IBD,42,0,42
226_1-39_5,2.224797688,non-IBD,31,0,31
226_1-44_3,2.2278689219999994,IBD,18,0,18
226_1-44_3,2.2278689219999994,non-IBD,44,0,44
226_1-45_1,2.307335235,IBD,108,0,108
226_1-45_1,2.307335235,non-IBD,106,0,106
226_1-48_2,2.238180611,IBD,62,0,62
226_1-48_2,2.238180611,non-IBD,204,14,190
226_1-66_5,1.8496827879999995,IBD,434,0,434
226_1-66_5,1.8496827879999995,non-IBD,472,0,472
226_1-96_1,0.6983334009999997,IBD,34,0,34
226_1-96_1,0.6983334009999997,non-IBD,15,0,15
226_1-97_1,0.7304814819999996,IBD,44,0,44
226_1-97_1,0.7304814819999996,non-IBD,49,7,42
