phenotype,hgt_col,n_rows_df_sp,n_MGS_ID,n_species_pair,beta,se,z,wald_p,lrt_p
Lab1Calprotectin,HGT,3473,682,8217,2.1742484357370874e-4,2.9970381141627826e-4,0.7254657274668861,0.46816636310515797,1.7511482479374015e-4
Lab2Calprotectin,HGT,3056,682,8217,9.78450498327284e-4,4.8471399556580065e-4,2.018614084342976,0.04352734599054608,0.04762640482651151
Lab1Calprotectin,HGT_old,3473,682,8217,2.955452846187717e-4,2.887183874532004e-4,1.0236455226346743,0.3060027352602763,0.30694309811896997
Lab2Calprotectin,HGT_old,3056,682,8217,9.78450498327284e-4,4.8471399556580065e-4,2.018614084342976,0.04352734599054608,0.04762640482651151
