cohort,species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
Dutch,102_1-32_1,40,0,0.0,2.561545438999999,2
Dutch,102_1-330_1,15,0,0.0,2.100484924,1
Dutch,102_1-332_1,7,0,0.0,2.1270972909999992,1
Dutch,102_1-333_1,5,0,0.0,2.065938578999999,1
Dutch,102_1-334_1,55,0,0.0,2.081956739,1
Dutch,102_1-334_3,30,0,0.0,2.089103103,1
Dutch,102_1-335_1,1078,0,0.0,2.0791602419999995,1
Dutch,102_1-36_1,6,0,0.0,2.579175958999999,2
Dutch,102_1-37_1,7,0,0.0,2.572712372,2
Dutch,102_1-38_1,1,0,0.0,2.5586034799999995,2
Dutch,102_1-39_2,22,0,0.0,2.566557028,2
Dutch,102_1-39_5,43,0,0.0,2.571320024999999,2
Dutch,102_1-41_1,1,0,0.0,2.575852714,2
Dutch,102_1-42_1,3,0,0.0,2.562811949999999,2
Dutch,102_1-42_2,50,0,0.0,2.5620196709999994,2
Dutch,102_1-43_1,23,0,0.0,2.5686086809999997,2
Dutch,102_1-44_1,2,0,0.0,2.573680819,2
Dutch,102_1-44_3,63,0,0.0,2.574391258999999,2
Dutch,102_1-44_5,3,0,0.0,2.576774999999999,2
Dutch,102_1-45_1,375,0,0.0,2.6538575719999997,2
Dutch,102_1-46_1,91,0,0.0,2.5224809479999992,2
Dutch,102_1-47_2,6,0,0.0,2.5268904629999995,2
Dutch,102_1-48_2,242,0,0.0,2.584702947999999,2
Dutch,102_1-4_3,2,0,0.0,2.4659556,2
Dutch,102_1-50_1,3,0,0.0,2.5796658649999995,2
Dutch,102_1-51_1,8,0,0.0,2.582244094999999,2
Dutch,102_1-52_1,3,0,0.0,2.5867789359999995,2
Dutch,102_1-66_2,2,0,0.0,2.198096145,2
Dutch,102_1-66_3,19,0,0.0,2.2032473409999995,2
Dutch,102_1-66_5,460,0,0.0,2.196205124999999,2
Dutch,102_1-69_1,2,0,0.0,2.193357081,2
Dutch,102_1-76_2,54,0,0.0,2.1925789609999997,2
Dutch,102_1-76_3,1,0,0.0,2.1823777859999995,2
Dutch,102_1-77_2,4,0,0.0,2.181037997,2
Dutch,102_1-78_3,12,0,0.0,2.1819024549999995,2
Dutch,102_1-80_1,12,0,0.0,2.098586885,2
Dutch,102_1-90_1,15,0,0.0,0.7230291499999995,1
Dutch,102_1-92_1,2,0,0.0,0.7861460159999996,1
Dutch,102_2-10_1,4,0,0.0,2.353204383,2
Dutch,102_2-10_2,2,0,0.0,2.3533202119999994,2
Dutch,102_2-112_1,33,0,0.0,0.945873496,1
Dutch,102_2-113_1,14,0,0.0,0.9078733309999998,1
Dutch,102_2-114_1,4,0,0.0,0.9037193719999994,1
Dutch,102_2-114_2,2,0,0.0,0.9034371279999998,1
Dutch,102_2-116_1,5,0,0.0,0.9049539329999998,1
Dutch,102_2-119_1,7,0,0.0,0.7901958349999996,1
Dutch,102_2-120_1,4,0,0.0,0.7899945089999996,1
Dutch,102_2-12_1,4,0,0.0,2.343101842999999,2
Dutch,102_2-14_1,5,0,0.0,2.4250053609999997,2
Dutch,102_2-154_1,3,0,0.0,1.7699761499999993,1
Dutch,102_2-171_1,2,0,0.0,1.7820505499999997,2
Dutch,102_2-176_1,5,0,0.0,1.3068844659999996,1
Dutch,102_2-178_2,2,0,0.0,1.3963853959999994,1
Dutch,102_2-20_1,10,0,0.0,2.665210259999999,2
Dutch,102_2-223_1,3,0,0.0,0.8345776299999996,2
Dutch,102_2-229_3,10,0,0.0,0.9213110839999992,2
Dutch,102_2-240_1,1,0,0.0,0.963286228999999,2
Dutch,102_2-252_1,1,0,0.0,1.4670916299999992,1
Dutch,102_2-26_2,22,0,0.0,2.677688375,2
Dutch,102_2-283_1,2,0,0.0,1.6346765319999994,2
Dutch,102_2-290_1,2,0,0.0,1.677058081999999,2
Dutch,102_2-297_1,2,0,0.0,0.9776381099999996,2
Dutch,102_2-318_19,32,0,0.0,1.9489944309999996,1
Dutch,102_2-318_21,3,0,0.0,1.9482704589999995,1
Dutch,102_2-326_1,16,0,0.0,1.998570092,1
Dutch,102_2-32_1,85,0,0.0,2.5619510559999994,2
Dutch,102_2-330_1,8,0,0.0,2.100890540999999,1
Dutch,102_2-333_1,4,0,0.0,2.0663441959999997,1
Dutch,102_2-334_1,50,0,0.0,2.082362356,1
Dutch,102_2-334_3,7,0,0.0,2.0895087199999995,1
Dutch,102_2-335_1,377,0,0.0,2.079565859,1
Dutch,102_2-36_1,1,0,0.0,2.579581576,2
Dutch,102_2-39_2,8,0,0.0,2.566962645,2
Dutch,102_2-39_3,2,0,0.0,2.573169759,2
Dutch,102_2-39_5,17,0,0.0,2.571725641999999,2
Dutch,102_2-42_1,1,0,0.0,2.5632175669999997,2
