trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
presence of motility,presence_of_motility,Dutch,1,"(1.8, 1.867]",1.823940522521739,0.00018684205559333595,92,24
presence of motility,presence_of_motility,Dutch,1,"(1.867, 1.933]",1.9082678519074074,6.529447809621392e-05,54,24
presence of motility,presence_of_motility,Dutch,1,"(1.933, 2.0]",1.9590829067307693,0.0,52,24
presence of motility,presence_of_motility,Dutch,2,"(0.00196, 0.0714]",0.041176028545454456,0.041666666666666664,11,10
presence of motility,presence_of_motility,Dutch,2,"(0.138, 0.204]",0.1595274450000001,0.0,1,10
presence of motility,presence_of_motility,Dutch,2,"(0.337, 0.404]",0.3754049180000001,0.0,1,10
presence of motility,presence_of_motility,Dutch,2,"(0.936, 1.002]",0.991045083,0.0,1,10
presence of motility,presence_of_motility,Dutch,2,"(1.401, 1.468]",1.4528199659999999,0.0,2,10
presence of motility,presence_of_motility,Dutch,2,"(1.667, 1.734]",1.7048602709999998,0.0,1,10
presence of motility,presence_of_motility,Dutch,2,"(1.734, 1.8]",1.7742942549999998,0.0,4,10
presence of motility,presence_of_motility,Dutch,2,"(1.8, 1.867]",1.8361530467999998,0.0,5,10
presence of motility,presence_of_motility,Dutch,2,"(1.867, 1.933]",1.8936144304,0.0,5,10
presence of motility,presence_of_motility,Dutch,2,"(1.933, 2.0]",1.97734391,0.0,2,10
presence of motility,presence_of_motility,US,0,"(0.00827, 0.0775]",0.05028628869999989,0.5030976944869358,30,30
presence of motility,presence_of_motility,US,0,"(0.0775, 0.144]",0.1172944504814814,0.5200725589372835,27,30
presence of motility,presence_of_motility,US,0,"(0.144, 0.21]",0.18519290061842086,0.4568612484991618,76,30
presence of motility,presence_of_motility,US,0,"(0.21, 0.276]",0.24994916586792448,0.5332790725790263,53,30
presence of motility,presence_of_motility,US,0,"(0.276, 0.343]",0.2880451649999997,0.0,1,30
presence of motility,presence_of_motility,US,0,"(0.343, 0.409]",0.3599235919999999,0.0,1,30
presence of motility,presence_of_motility,US,0,"(0.409, 0.475]",0.45086106315789454,0.5792920598523238,19,30
presence of motility,presence_of_motility,US,0,"(0.475, 0.541]",0.49541827891666645,0.44549978311276955,72,30
presence of motility,presence_of_motility,US,0,"(0.541, 0.608]",0.5698778633333333,0.0,3,30
presence of motility,presence_of_motility,US,0,"(0.608, 0.674]",0.651639091272727,0.0,11,30
presence of motility,presence_of_motility,US,0,"(0.674, 0.74]",0.7134132178999998,0.0,20,30
presence of motility,presence_of_motility,US,0,"(0.74, 0.806]",0.7821312858333331,0.0,12,30
presence of motility,presence_of_motility,US,0,"(0.806, 0.873]",0.8481759362647057,0.14682293970219665,34,30
presence of motility,presence_of_motility,US,0,"(0.873, 0.939]",0.9044580027499998,0.27247023809523807,16,30
presence of motility,presence_of_motility,US,0,"(0.939, 1.005]",0.9680047883636359,0.332395159020546,11,30
presence of motility,presence_of_motility,US,0,"(1.005, 1.072]",1.04506097690625,0.3601176167582418,32,30
presence of motility,presence_of_motility,US,0,"(1.072, 1.138]",1.087964156222222,0.09401709401709402,9,30
presence of motility,presence_of_motility,US,0,"(1.138, 1.204]",1.161513967285714,0.24152752009894865,7,30
presence of motility,presence_of_motility,US,0,"(1.204, 1.27]",1.2301410811999998,0.0,5,30
presence of motility,presence_of_motility,US,0,"(1.27, 1.337]",1.2845653079999997,0.0,6,30
presence of motility,presence_of_motility,US,0,"(1.337, 1.403]",1.3760620114999997,0.0,4,30
presence of motility,presence_of_motility,US,0,"(1.403, 1.469]",1.434595916,0.0,1,30
presence of motility,presence_of_motility,US,0,"(1.469, 1.535]",1.519812847272727,0.0,11,30
presence of motility,presence_of_motility,US,0,"(1.535, 1.602]",1.5663535887272728,0.0,11,30
presence of motility,presence_of_motility,US,0,"(1.602, 1.668]",1.6464884160769229,0.0,13,30
presence of motility,presence_of_motility,US,0,"(1.668, 1.734]",1.709228728185185,0.007407407407407408,27,30
presence of motility,presence_of_motility,US,0,"(1.734, 1.8]",1.774350967923077,0.006779196511990034,65,30
presence of motility,presence_of_motility,US,0,"(1.8, 1.867]",1.833664835989899,0.0009331927125445046,99,30
presence of motility,presence_of_motility,US,0,"(1.867, 1.933]",1.9036377980384616,0.0017064794865294336,130,30
presence of motility,presence_of_motility,US,0,"(1.933, 1.999]",1.957380169477612,0.0011025662676788204,67,30
presence of motility,presence_of_motility,US,1,"(0.00827, 0.0775]",0.06357491616666629,0.16666666666666666,6,15
presence of motility,presence_of_motility,US,1,"(0.0775, 0.144]",0.0801062999999997,0.0,1,15
presence of motility,presence_of_motility,US,1,"(0.674, 0.74]",0.7056493289999999,0.0,2,15
presence of motility,presence_of_motility,US,1,"(0.806, 0.873]",0.8695864169999994,0.0,1,15
presence of motility,presence_of_motility,US,1,"(1.27, 1.337]",1.2862960129999998,0.0,1,15
presence of motility,presence_of_motility,US,1,"(1.337, 1.403]",1.3981533498333334,0.0,6,15
presence of motility,presence_of_motility,US,1,"(1.403, 1.469]",1.454185389,0.0,2,15
presence of motility,presence_of_motility,US,1,"(1.469, 1.535]",1.5260631582,0.0,10,15
presence of motility,presence_of_motility,US,1,"(1.535, 1.602]",1.5623731431428571,0.0,14,15
presence of motility,presence_of_motility,US,1,"(1.602, 1.668]",1.613796599333333,0.0,3,15
presence of motility,presence_of_motility,US,1,"(1.668, 1.734]",1.6890493466666665,0.0,3,15
presence of motility,presence_of_motility,US,1,"(1.734, 1.8]",1.7760572674,0.00031678986272439284,10,15
presence of motility,presence_of_motility,US,1,"(1.8, 1.867]",1.8238260027500002,0.0010218531389715858,40,15
presence of motility,presence_of_motility,US,1,"(1.867, 1.933]",1.912140637272727,0.004132231404958678,11,15
presence of motility,presence_of_motility,US,1,"(1.933, 1.999]",1.9573183339999998,0.0,12,15
