category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label
H,Coenzyme transport and metabolism,Alistipes_shahii | Bacteroides_uniformis,10_2-48_2,COG4206,Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE),2,1,2,0,0,0,2,1,2,317,55,317,246.0,49.0,246.0,71.0,6.0,71.0,0.0063091482649842,0.0181818181818181,0.0063091482649842,0.0,0.0,0.0,0.028169014084507,0.1666666666666666,0.028169014084507,2,69,0,246,inf,0.049614662780018366,17.73381294964029,4.148430858541767,1.3043899561028232,0.21086231681507805,False,IBD_enriched,Alistipes_shahii | Bacteroides_uniformis | COG4206
H,Coenzyme transport and metabolism,Parabacteroides_merdae | Parabacteroides_distasonis,26_2-45_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),82,5,82,26,4,26,56,1,56,1751,152,1751,743.0,137.0,743.0,1008.0,15.0,1008.0,0.0468303826384922,0.0328947368421052,0.0468303826384922,0.034993270524899,0.0291970802919708,0.034993270524899,0.0555555555555555,0.0666666666666666,0.0555555555555555,56,952,26,717,1.6221719457013575,0.05131332367848046,1.606051602040311,0.6835182470343544,1.2897698542108251,0.21363098021244925,False,IBD_enriched,Parabacteroides_merdae | Parabacteroides_distasonis | COG0476
H,Coenzyme transport and metabolism,Phocaeicola_vulgatus | Bacteroides_stercoris,46_1-52_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),2,1,2,0,0,0,2,1,2,20,12,20,15.0,10.0,15.0,5.0,2.0,5.0,0.1,0.0833333333333333,0.1,0.0,0.0,0.0,0.4,0.5,0.4,2,3,0,15,inf,0.05263157894736843,22.142857142857142,4.468769483216634,1.2787536009528289,0.2147368421052632,False,IBD_enriched,Phocaeicola_vulgatus | Bacteroides_stercoris | COG0476
H,Coenzyme transport and metabolism,Bacteroides_caccae | Bacteroides_uniformis,43_1-48_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),9,4,9,9,4,9,0,0,0,326,64,326,227.0,61.0,227.0,99.0,3.0,99.0,0.0276073619631901,0.0625,0.0276073619631901,0.039647577092511,0.0655737704918032,0.039647577092511,0.0,0.0,0.0,0,99,9,218,0.0,0.0617832878394543,0.11557788944723618,-3.113062664486636,1.2091289841449822,0.2471331513578172,False,nonIBD_enriched,Bacteroides_caccae | Bacteroides_uniformis | COG0262
H,Coenzyme transport and metabolism,Bacteroides_cellulosilyticus | Bacteroides_eggerthii,39_5-50_1,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),1,1,1,0,0,0,1,1,1,13,4,13,12.0,3.0,12.0,1.0,1.0,1.0,0.0769230769230769,0.25,0.0769230769230769,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,12,inf,0.07692307692307691,75.0,6.22881869049588,1.113943352306837,0.30177514792899407,False,IBD_enriched,Bacteroides_cellulosilyticus | Bacteroides_eggerthii | COG0262
H,Coenzyme transport and metabolism,Parabacteroides_goldsteinii | Bacteroides_fragilis,20_1-32_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),3,1,3,3,1,3,0,0,0,65,13,65,29.0,11.0,29.0,36.0,2.0,36.0,0.0461538461538461,0.0769230769230769,0.0461538461538461,0.1034482758620689,0.0909090909090909,0.1034482758620689,0.0,0.0,0.0,0,36,3,26,0.0,0.08365384615384615,0.10371819960861056,-3.269259026374422,1.0775140866801618,0.321988388969521,False,nonIBD_enriched,Parabacteroides_goldsteinii | Bacteroides_fragilis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_intestinalis_A | Bacteroides_uniformis,39_1-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),8,1,8,8,1,8,0,0,0,12,3,12,10.0,2.0,10.0,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,0.5,0.8,0.0,0.0,0.0,0,2,8,2,0.0,0.09090909090909091,0.058823529411764705,-4.087462841250339,1.041392685158225,0.3434343434343434,False,nonIBD_enriched,Bacteroides_intestinalis_A | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_cellulosilyticus | Bacteroides_uniformis,39_5-48_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),22,2,22,22,2,22,0,0,0,434,60,434,378.0,59.0,378.0,56.0,1.0,56.0,0.0506912442396313,0.0333333333333333,0.0506912442396313,0.0582010582010582,0.0338983050847457,0.0582010582010582,0.0,0.0,0.0,0,56,22,356,0.0,0.09449843734021705,0.14021632251720748,-2.834273792300974,1.0245753730794358,0.350503294861896,False,nonIBD_enriched,Bacteroides_cellulosilyticus | Bacteroides_uniformis | COG0262
H,Coenzyme transport and metabolism,Bacteroides_caccae | Bacteroides_xylanisolvens,43_1-44_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),8,1,8,8,1,8,0,0,0,59,20,59,44.0,19.0,44.0,15.0,1.0,15.0,0.135593220338983,0.05,0.135593220338983,0.1818181818181818,0.0526315789473684,0.1818181818181818,0.0,0.0,0.0,0,15,8,36,0.0,0.10012695726318137,0.13851992409867173,-2.8518345927571973,0.9994489813167831,0.3647482014587321,False,nonIBD_enriched,Bacteroides_caccae | Bacteroides_xylanisolvens | COG0476
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Parabacteroides_distasonis,44_1-45_1,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),1,1,1,1,1,1,0,0,0,1326,62,1326,160.0,49.0,160.0,1166.0,13.0,1166.0,0.0007541478129713,0.0161290322580645,0.0007541478129713,0.00625,0.0204081632653061,0.00625,0.0,0.0,0.0,0,1166,1,159,0.0,0.12066365007541477,0.04557793970567224,-4.455520478940486,0.9184235414128296,0.41720990873533237,False,nonIBD_enriched,Bacteroides_xylanisolvens | Parabacteroides_distasonis | COG0156
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Parabacteroides_distasonis,44_1-45_1,COG0294,Dihydropteroate synthase (FolP) (PDB:1AD1),1,1,1,1,1,1,0,0,0,1326,62,1326,160.0,49.0,160.0,1166.0,13.0,1166.0,0.0007541478129713,0.0161290322580645,0.0007541478129713,0.00625,0.0204081632653061,0.00625,0.0,0.0,0.0,0,1166,1,159,0.0,0.12066365007541477,0.04557793970567224,-4.455520478940486,0.9184235414128296,0.41720990873533237,False,nonIBD_enriched,Bacteroides_xylanisolvens | Parabacteroides_distasonis | COG0294
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Parabacteroides_distasonis,44_1-45_1,COG4206,Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE),1,1,1,1,1,1,0,0,0,1326,62,1326,160.0,49.0,160.0,1166.0,13.0,1166.0,0.0007541478129713,0.0161290322580645,0.0007541478129713,0.00625,0.0204081632653061,0.00625,0.0,0.0,0.0,0,1166,1,159,0.0,0.12066365007541477,0.04557793970567224,-4.455520478940486,0.9184235414128296,0.41720990873533237,False,nonIBD_enriched,Bacteroides_xylanisolvens | Parabacteroides_distasonis | COG4206
H,Coenzyme transport and metabolism,Phocaeicola_vulgatus | Bacteroides_uniformis,46_1-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),33,9,33,33,9,33,0,0,0,900,161,900,836.0,153.0,836.0,64.0,8.0,64.0,0.0366666666666666,0.0559006211180124,0.0366666666666666,0.0394736842105263,0.0588235294117647,0.0394736842105263,0.0,0.0,0.0,0,64,33,803,0.0,0.16177622520472168,0.1859308110609742,-2.4271622322059327,0.7910853023842287,0.5500391656960537,False,nonIBD_enriched,Phocaeicola_vulgatus | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG4206,Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE),2,1,2,2,1,2,0,0,0,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.0004309416074121,0.0045045045045045,0.0004309416074121,0.0009930486593843,0.0049504950495049,0.0009930486593843,0.0,0.0,0.0,0,2627,2,2012,0.0,0.18826677886008514,0.15318744053282587,-2.7066300758475617,0.7252263078676572,0.6296134899583176,False,nonIBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG4206
H,Coenzyme transport and metabolism,Bacteroides_thetaiotaomicron | Bacteroides_ovatus,42_2-44_3,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),7,2,7,7,2,7,0,0,0,182,61,182,139.0,56.0,139.0,43.0,5.0,43.0,0.0384615384615384,0.0327868852459016,0.0384615384615384,0.0503597122302158,0.0357142857142857,0.0503597122302158,0.0,0.0,0.0,0,43,7,132,0.0,0.20105068479781074,0.20306513409961685,-2.2999855420066853,0.696694443310118,0.6615216080444096,False,nonIBD_enriched,Bacteroides_thetaiotaomicron | Bacteroides_ovatus | COG0262
H,Coenzyme transport and metabolism,Bacteroides_ovatus | Bacteroides_uniformis,44_3-48_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),28,7,28,11,4,11,17,3,17,709,108,709,362.0,94.0,362.0,347.0,14.0,347.0,0.0394922425952045,0.0648148148148148,0.0394922425952045,0.0303867403314917,0.0425531914893617,0.0303867403314917,0.0489913544668587,0.2142857142857142,0.0489913544668587,17,330,11,351,1.643801652892562,0.24817284506422052,1.6184305729132409,0.6945954784527972,0.6052457405002494,0.7846153846153847,False,IBD_enriched,Bacteroides_ovatus | Bacteroides_uniformis | COG0262
H,Coenzyme transport and metabolism,Bacteroides_fragilis | Parabacteroides_distasonis,32_1-45_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),3,1,3,3,1,3,0,0,0,1375,66,1375,693.0,55.0,693.0,682.0,11.0,682.0,0.0021818181818181,0.0151515151515151,0.0021818181818181,0.0043290043290043,0.0181818181818181,0.0043290043290043,0.0,0.0,0.0,0,682,3,690,0.0,0.24950218340611355,0.1445316588173731,-2.7905425536067683,0.6029256494911812,0.7846153846153847,False,nonIBD_enriched,Bacteroides_fragilis | Parabacteroides_distasonis | COG0476
