cohort,species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
Dutch,102_1-14_1,17,0,0.0,2.424599744,1
Dutch,102_1-150_1,3,0,0.0,1.7039514939999996,1
Dutch,102_1-178_1,2,0,0.0,1.396684143999999,1
Dutch,102_1-179_1,20,0,0.0,1.4410200539999996,1
Dutch,102_1-180_1,11,0,0.0,1.4534958189999996,1
Dutch,102_1-181_1,2,0,0.0,1.4444048039999997,1
Dutch,102_1-181_3,5,0,0.0,1.4482344399999991,1
Dutch,102_1-186_1,1,0,0.0,1.6162140349999992,1
Dutch,102_1-196_1,2,0,0.0,1.0354392459999993,0
Dutch,102_1-200_1,1,0,0.0,0.9651868899999996,0
Dutch,102_1-210_1,3,0,0.0,1.4000530009999994,1
Dutch,102_1-223_1,53,0,0.0,0.8341720129999994,0
Dutch,102_1-228_2,4,0,0.0,0.9393101279999994,0
Dutch,102_1-229_1,4,0,0.0,0.9204803589999996,0
Dutch,102_1-229_2,6,0,0.0,0.9239850849999997,0
Dutch,102_1-229_3,153,0,0.0,0.9209054669999994,0
Dutch,102_1-233_1,5,0,0.0,0.9219775619999996,0
Dutch,102_1-233_3,13,0,0.0,0.9232381039999996,0
Dutch,102_1-234_1,5,0,0.0,0.9163748169999996,0
Dutch,102_1-234_2,50,0,0.0,0.9130202289999994,0
Dutch,102_1-236_1,5,0,0.0,0.9134872069999996,0
Dutch,102_1-238_3,45,0,0.0,0.9013490939999992,0
Dutch,102_1-239_1,20,0,0.0,0.9013522339999996,0
Dutch,102_1-240_1,21,0,0.0,0.9628806119999992,0
Dutch,102_1-246_1,2,0,0.0,1.0767957569999993,0
Dutch,102_1-24_2,2,0,0.0,2.673104534999999,1
Dutch,102_1-252_1,1,0,0.0,1.4666860129999997,1
Dutch,102_1-25_1,1,0,0.0,2.671095009999999,1
Dutch,102_1-269_1,1,0,0.0,0.9290033789999992,0
Dutch,102_1-26_2,65,0,0.0,2.677282757999999,1
Dutch,102_1-26_3,6,0,0.0,2.666389699999999,1
Dutch,102_1-283_1,6,0,0.0,1.6342709149999997,1
Dutch,102_1-297_1,2,0,0.0,0.9772324929999998,1
Dutch,102_1-298_1,2,0,0.0,1.1908491269999997,1
Dutch,102_1-300_1,5,0,0.0,1.1974554489999996,1
Dutch,102_1-312_1,1,0,0.0,1.9611759239999995,1
Dutch,102_1-318_19,1,0,0.0,1.9485888139999996,1
Dutch,102_1-318_21,5,0,0.0,1.9478648419999995,1
Dutch,102_1-318_39,9,0,0.0,1.9516338509999995,1
Dutch,102_1-318_40,1,0,0.0,1.9489708999999995,1
Dutch,102_1-318_42,2,0,0.0,1.9502263629999996,1
Dutch,102_1-318_5,18,0,0.0,1.9558760029999995,1
Dutch,102_1-318_54,10,0,0.0,1.9508853369999997,1
Dutch,102_1-318_56,77,0,0.0,1.9485087889999997,1
Dutch,102_1-318_79,3,0,0.0,1.9486735849999997,1
Dutch,102_1-318_8,2,0,0.0,1.9572905039999997,1
Dutch,102_1-318_82,1,0,0.0,1.9500981029999995,1
Dutch,102_1-325_1,1,0,0.0,2.0176504299999998,1
Dutch,102_1-326_1,39,0,0.0,1.9981644749999996,1
Dutch,102_1-32_1,40,0,0.0,2.561545438999999,1
