phenotype,LRT_p,down_prop_LRT_p_lt_0_05,down_direction_same_frac,leave_top5_LRT_p,term_used,beta_used,OR_used,coef_p_used,neglog10_LRT_p,direction
Anemia,5.955429822923205e-92,1,1,6.991865879564764e-94,Phenotype1,1.0072881085854584,2.7381653301385818,6.305652314643365e-93,91.2250868885914,OR > 1
PetsChild0to15Y.Any,1.3979782323778238e-23,1,1,1.0423712710598908e-15,Phenotype1,0.3986157115147332,1.4897610105889465,1.8574639620388536e-22,22.85449959084484,OR > 1
Urbanicity,2.701776880258694e-20,1,1,4.179911266015328e-83,Phenotype5,-0.10423352022287218,0.9010148676596516,0.07510649627035593,19.568350518997725,OR < 1
HeartRateComplains,1.647021050983856e-9,1,1,2.1049286144226247e-15,Phenotype1,0.20721484786830985,1.230246859304147,1.854820045773624e-9,8.783300849969468,OR > 1
