species_pair,phylogeny,group,total,HGT,non_HGT
102_1-238_3,0.9013490939999992,within,45,0,45
102_1-238_3,0.9013490939999992,between,8147,0,8147
102_1-240_1,0.9628806119999992,within,24,0,24
102_1-240_1,0.9628806119999992,between,3944,0,3944
102_1-26_2,2.677282757999999,within,80,0,80
102_1-26_2,2.677282757999999,between,61232,0,61232
102_1-318_56,1.9485087889999997,within,77,0,77
102_1-318_56,1.9485087889999997,between,54835,0,54835
102_1-326_1,1.9981644749999992,within,39,0,39
102_1-326_1,1.9981644749999992,between,33241,0,33241
102_1-32_1,2.561545438999999,within,52,0,52
102_1-32_1,2.561545438999999,between,63180,0,63180
102_1-334_1,2.081956739,within,61,0,61
102_1-334_1,2.081956739,between,52419,0,52419
102_1-334_3,2.0891031029999994,within,33,0,33
102_1-334_3,2.0891031029999994,between,28639,0,28639
102_1-335_1,2.0791602419999995,within,1123,0,1123
102_1-335_1,2.0791602419999995,between,745757,0,745757
102_1-336_1,2.097148789999999,within,34,0,34
102_1-336_1,2.097148789999999,between,16862,0,16862
102_1-338_1,2.113326023999999,within,625,0,625
102_1-338_1,2.113326023999999,between,490127,0,490127
102_1-39_2,2.5665570279999996,within,22,0,22
102_1-39_2,2.5665570279999996,between,6890,0,6890
102_1-39_5,2.571320024999999,within,45,0,45
102_1-39_5,2.571320024999999,between,25427,0,25427
102_1-42_2,2.5620196709999994,within,54,0,54
102_1-42_2,2.5620196709999994,between,37450,0,37450
102_1-43_1,2.5686086809999993,within,34,0,34
102_1-43_1,2.5686086809999993,between,28382,0,28382
102_1-44_3,2.574391258999999,within,100,0,100
102_1-44_3,2.574391258999999,between,65692,0,65692
102_1-45_1,2.6538575719999993,within,379,0,379
102_1-45_1,2.6538575719999993,between,252549,0,252549
102_1-46_1,2.5224809479999992,within,127,0,127
102_1-46_1,2.5224809479999992,between,84609,0,84609
102_1-48_2,2.584702947999999,within,258,0,258
102_1-48_2,2.584702947999999,between,144126,0,144126
102_1-66_5,2.196205124999999,within,473,0,473
102_1-66_5,2.196205124999999,between,325543,0,325543
102_1-76_2,2.1925789609999993,within,54,0,54
102_1-76_2,2.1925789609999993,between,7498,0,7498
102_1-90_1,0.7230291499999995,within,21,0,21
102_1-90_1,0.7230291499999995,between,15083,18,15065
102_1-96_1,0.6981245979999997,within,32,0,32
102_1-96_1,0.6981245979999997,between,33888,12,33876
102_1-97_1,0.7302726789999996,within,47,0,47
102_1-97_1,0.7302726789999996,between,36689,3,36686
102_2-112_1,0.945873496,within,35,0,35
102_2-112_1,0.945873496,between,12957,24,12933
102_2-26_2,2.6776883749999993,within,41,0,41
102_2-26_2,2.6776883749999993,between,27741,0,27741
102_2-318_19,1.9489944309999991,within,32,0,32
102_2-318_19,1.9489944309999991,between,1418,0,1418
102_2-318_56,1.9489144059999992,within,41,0,41
102_2-318_56,1.9489144059999992,between,24841,0,24841
102_2-32_1,2.5619510559999994,within,120,0,120
102_2-32_1,2.5619510559999994,between,28532,0,28532
102_2-334_1,2.082362356,within,53,0,53
102_2-334_1,2.082362356,between,23727,0,23727
102_2-335_1,2.0795658589999997,within,381,0,381
102_2-335_1,2.0795658589999997,between,338049,0,338049
102_2-338_1,2.1137316409999993,within,316,0,316
102_2-338_1,2.1137316409999993,between,222056,0,222056
102_2-42_2,2.5624252879999996,within,25,0,25
102_2-42_2,2.5624252879999996,between,16969,0,16969
102_2-44_1,2.574086435999999,within,30,0,30
102_2-44_1,2.574086435999999,between,14586,0,14586
102_2-44_3,2.5747968759999993,within,48,0,48
102_2-44_3,2.5747968759999993,between,29764,0,29764
102_2-44_4,2.5833586019999992,within,30,0,30
102_2-44_4,2.5833586019999992,between,1710,0,1710
102_2-45_1,2.654263188999999,within,157,0,157
102_2-45_1,2.654263188999999,between,114451,0,114451
102_2-46_1,2.522886564999999,within,50,0,50
102_2-46_1,2.522886564999999,between,38346,0,38346
102_2-48_2,2.585108564999999,within,97,0,97
102_2-48_2,2.585108564999999,between,65327,0,65327
102_2-66_5,2.1966107419999994,within,239,0,239
102_2-66_5,2.1966107419999994,between,147487,0,147487
102_2-90_1,0.7234347669999996,within,22,2,20
102_2-90_1,0.7234347669999996,between,6822,38,6784
102_2-97_1,0.7306782959999998,within,39,0,39
102_2-97_1,0.7306782959999998,between,16607,91,16516
103_1-335_1,2.0759962069999993,within,36,0,36
103_1-335_1,2.0759962069999993,between,11634,0,11634
103_2-335_1,2.0752894919999996,within,27,0,27
103_2-335_1,2.0752894919999996,between,29148,0,29148
103_2-338_1,2.109455273999999,within,21,0,21
103_2-338_1,2.109455273999999,between,19149,0,19149
104_1-318_56,1.8710457669999991,within,23,0,23
104_1-318_56,1.8710457669999991,between,10273,0,10273
104_1-330_1,2.023021901999999,within,33,0,33
104_1-330_1,2.023021901999999,between,2991,0,2991
104_1-335_1,2.0016972199999996,within,152,0,152
104_1-335_1,2.0016972199999996,between,139888,0,139888
104_1-338_1,2.0358630019999993,within,119,0,119
104_1-338_1,2.0358630019999993,between,91897,0,91897
104_1-45_1,2.576394549999999,within,57,0,57
104_1-45_1,2.576394549999999,between,47367,0,47367
104_1-46_1,2.445017925999999,within,35,0,35
104_1-46_1,2.445017925999999,between,15853,0,15853
104_1-48_2,2.507239925999999,within,27,0,27
104_1-48_2,2.507239925999999,between,27045,0,27045
104_1-66_5,2.1187421029999993,within,68,0,68
104_1-66_5,2.1187421029999993,between,61060,0,61060
104_1-96_1,0.6206615759999998,within,24,0,24
104_1-96_1,0.6206615759999998,between,6336,0,6336
105_1-338_1,2.0534256159999993,within,33,0,33
105_1-338_1,2.0534256159999993,between,7635,0,7635
105_1-48_2,2.524802539999999,within,25,0,25
105_1-48_2,2.524802539999999,between,2231,0,2231
107_1-45_1,2.589614383999999,within,43,0,43
107_1-45_1,2.589614383999999,between,13789,0,13789
107_1-66_5,2.1319619369999994,within,25,0,25
107_1-66_5,2.1319619369999994,between,17804,0,17804
109_1-326_1,1.9445065259999996,within,31,0,31
109_1-326_1,1.9445065259999996,between,1529,0,1529
109_1-335_1,2.0255022929999997,within,76,0,76
109_1-335_1,2.0255022929999997,between,34934,0,34934
109_1-338_1,2.0596680749999994,within,35,0,35
109_1-338_1,2.0596680749999994,between,22969,0,22969
109_1-66_5,2.142547175999999,within,46,0,46
109_1-66_5,2.142547175999999,between,15236,0,15236
109_2-318_56,1.8979719739999996,within,36,0,36
109_2-318_56,1.8979719739999996,between,2109,0,2109
109_2-335_1,2.028623426999999,within,28,0,28
109_2-335_1,2.028623426999999,between,29147,0,29147
109_2-66_5,2.1456683099999996,within,26,0,26
109_2-66_5,2.1456683099999996,between,12709,0,12709
10_1-326_1,1.6058563890000004,within,23,0,23
10_1-326_1,1.6058563890000004,between,1277,0,1277
10_1-32_1,1.046234273,within,22,0,22
10_1-32_1,1.046234273,between,2448,98,2350
10_1-335_1,1.6868521560000005,within,90,0,90
10_1-335_1,1.6868521560000005,between,29085,0,29085
10_1-338_1,1.721017938,within,69,0,69
10_1-338_1,1.721017938,between,19101,0,19101
10_1-48_2,1.0693917819999998,within,30,0,30
10_1-48_2,1.0693917819999998,between,5610,574,5036
10_1-66_5,1.599649633,within,44,0,44
10_1-66_5,1.599649633,between,12691,0,12691
10_2-112_1,2.292518416,within,55,0,55
10_2-112_1,2.292518416,between,26825,0,26825
10_2-119_1,2.1368407549999997,within,24,0,24
10_2-119_1,2.1368407549999997,between,14616,0,14616
10_2-125_1,2.164078793,within,38,0,38
10_2-125_1,2.164078793,between,16522,0,16522
10_2-13_1,0.44198031800000015,within,22,6,16
10_2-13_1,0.44198031800000015,between,3818,229,3589
10_2-193_2,1.92047205,within,28,0,28
10_2-193_2,1.92047205,between,10292,0,10292
10_2-204_1,1.9076257209999996,within,35,0,35
10_2-204_1,1.9076257209999996,between,6085,0,6085
10_2-20_1,1.149609306,within,43,3,40
10_2-20_1,1.149609306,between,16157,2184,13973
10_2-226_1,2.0063922579999995,within,29,0,29
10_2-226_1,2.0063922579999995,between,19291,0,19291
10_2-229_3,2.1061552639999994,within,46,0,46
10_2-229_3,2.1061552639999994,between,58994,0,58994
10_2-26_2,1.1620874209999994,within,93,24,69
10_2-26_2,1.1620874209999994,between,57387,7690,49697
10_2-26_3,1.1511943629999997,within,51,13,38
10_2-26_3,1.1511943629999997,between,6189,330,5859
10_2-318_17,1.558651764,within,27,0,27
10_2-318_17,1.558651764,between,1053,0,1053
10_2-318_56,1.556316532,within,113,0,113
10_2-318_56,1.556316532,between,51367,0,51367
10_2-318_8,1.565098247,within,21,0,21
10_2-318_8,1.565098247,between,1899,0,1899
10_2-326_1,1.6059722180000002,within,65,0,65
10_2-326_1,1.6059722180000002,between,31135,0,31135
10_2-32_1,1.0463501019999994,within,42,5,37
10_2-32_1,1.0463501019999994,between,59238,2957,56281
10_2-334_1,1.689764482,within,88,0,88
10_2-334_1,1.689764482,between,49112,0,49112
10_2-334_3,1.696910846,within,21,0,21
10_2-334_3,1.696910846,between,26859,0,26859
10_2-335_1,1.6869679849999997,within,1632,0,1632
10_2-335_1,1.6869679849999997,between,698568,0,698568
10_2-338_1,1.7211337670000002,within,966,0,966
10_2-338_1,1.7211337670000002,between,459114,0,459114
10_2-39_5,1.0561246879999997,within,62,11,51
10_2-39_5,1.0561246879999997,between,23818,2650,21168
10_2-42_2,1.0468243339999996,within,62,9,53
10_2-42_2,1.0468243339999996,between,35098,2875,32223
10_2-43_1,1.053413344,within,42,9,33
10_2-43_1,1.053413344,between,26598,3681,22917
10_2-44_1,1.0584854819999996,within,36,11,25
10_2-44_1,1.0584854819999996,between,30204,4289,25915
10_2-44_3,1.0591959219999998,within,101,36,65
10_2-44_3,1.0591959219999998,between,61579,7679,53900
10_2-45_1,1.1386622349999995,within,854,218,636
10_2-45_1,1.1386622349999995,between,236266,27739,208527
10_2-46_1,1.007285611,within,177,41,136
10_2-46_1,1.007285611,between,79263,10057,69206
10_2-48_2,1.0695076109999997,within,327,120,207
10_2-48_2,1.0695076109999997,between,135033,21314,113719
10_2-66_5,1.599765462,within,560,0,560
10_2-66_5,1.599765462,between,305080,0,305080
10_2-96_1,2.230105535,within,46,0,46
10_2-96_1,2.230105535,between,31754,0,31754
10_2-97_1,2.2622536159999997,within,73,0,73
10_2-97_1,2.2622536159999997,between,34367,0,34367
111_1-229_3,0.8554371219999997,within,30,0,30
111_1-229_3,0.8554371219999997,between,2430,0,2430
111_1-338_1,2.047857679,within,76,0,76
111_1-338_1,2.047857679,between,19094,0,19094
111_1-45_1,2.5883892269999995,within,156,0,156
111_1-45_1,2.5883892269999995,between,9724,0,9724
112_1-113_1,0.3063479710000001,within,62,0,62
112_1-113_1,0.3063479710000001,between,3522,0,3522
112_1-114_1,0.3021940120000002,within,24,0,24
112_1-114_1,0.3021940120000002,between,5128,3,5125
112_1-116_1,0.3034285729999997,within,28,8,20
112_1-116_1,0.3034285729999997,between,8036,38,7998
112_1-120_1,0.5671551250000002,within,22,0,22
112_1-120_1,0.5671551250000002,between,28874,0,28874
112_1-125_1,0.5395377530000003,within,65,23,42
112_1-125_1,0.5395377530000003,between,30847,58,30789
112_1-13_1,2.211128904,within,22,0,22
112_1-13_1,2.211128904,between,7146,0,7146
112_1-14_1,2.364203565,within,31,0,31
112_1-14_1,2.364203565,between,18337,0,18337
112_1-179_1,1.3806238750000004,within,53,0,53
112_1-179_1,1.3806238750000004,between,7115,0,7115
112_1-20_1,2.604408464,within,30,0,30
112_1-20_1,2.604408464,between,30210,0,30210
112_1-223_1,0.7737758339999998,within,83,0,83
112_1-223_1,0.7737758339999998,between,20973,0,20973
112_1-226_1,0.7607462819999999,within,29,0,29
112_1-226_1,0.7607462819999999,between,36035,0,36035
112_1-226_2,0.7605694839999999,within,23,0,23
112_1-226_2,0.7605694839999999,between,16777,0,16777
112_1-229_3,0.8605092879999998,within,224,0,224
112_1-229_3,0.8605092879999998,between,109984,0,109984
112_1-233_3,0.8628419250000001,within,27,0,27
112_1-233_3,0.8628419250000001,between,14757,0,14757
112_1-238_3,0.8409529149999999,within,33,0,33
112_1-238_3,0.8409529149999999,between,14303,0,14303
112_1-239_1,0.8409560549999999,within,66,0,66
112_1-239_1,0.8409560549999999,between,5534,0,5534
112_1-240_1,0.902484433,within,30,0,30
112_1-240_1,0.902484433,between,6914,0,6914
112_1-241_1,0.9000766329999998,within,28,0,28
112_1-241_1,0.9000766329999998,between,1540,0,1540
112_1-26_2,2.6168865789999995,within,136,0,136
112_1-26_2,2.6168865789999995,between,107160,0,107160
112_1-26_3,2.605993521,within,29,0,29
112_1-26_3,2.605993521,between,11619,0,11619
112_1-283_1,1.573874736,within,110,0,110
112_1-283_1,1.573874736,between,20946,0,20946
112_1-318_38,1.889615947,within,38,0,38
112_1-318_38,1.889615947,between,9146,0,9146
112_1-318_56,1.88811261,within,109,0,109
112_1-318_56,1.88811261,between,95987,0,95987
112_1-326_1,1.937768296,within,80,0,80
112_1-326_1,1.937768296,between,58160,0,58160
112_1-32_1,2.5011492599999996,within,124,0,124
112_1-32_1,2.5011492599999996,between,110532,0,110532
112_1-330_1,2.0400887450000003,within,37,0,37
112_1-330_1,2.0400887450000003,between,28187,0,28187
112_1-333_1,2.0055424000000004,within,47,0,47
112_1-333_1,2.0055424000000004,between,11153,0,11153
112_1-334_1,2.02156056,within,104,0,104
112_1-334_1,2.02156056,between,91736,0,91736
112_1-334_3,2.0287069239999997,within,45,0,45
112_1-334_3,2.0287069239999997,between,50131,0,50131
112_1-335_1,2.018764063,within,1695,0,1695
112_1-335_1,2.018764063,between,1305345,0,1305345
112_1-336_1,2.036752611,within,111,0,111
112_1-336_1,2.036752611,between,29457,0,29457
112_1-338_1,2.0529298450000004,within,1289,0,1289
112_1-338_1,2.0529298450000004,between,857527,0,857527
112_1-33_1,2.5006423879999997,within,29,0,29
112_1-33_1,2.5006423879999997,between,8259,0,8259
