metric	value
total_genome_pairs	782172
set_size_Same_family	20960
set_size_ST100	688
set_size_HGT	8364
intersection_Same_family_0_ST100_0_HGT_0	753072
intersection_Same_family_1_ST100_0_HGT_0	20079
intersection_Same_family_0_ST100_0_HGT_1	8140
intersection_Same_family_1_ST100_1_HGT_0	657
intersection_Same_family_1_ST100_0_HGT_1	193
intersection_Same_family_1_ST100_1_HGT_1	31
