trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.803, 0.869]",0.8450411140869563,0.0,23,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.869, 0.936]",0.8965823171578946,0.0,19,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(0.936, 1.002]",0.9640879529999997,0.03636102328255246,14,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.002, 1.069]",1.0329767827999998,0.0,5,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.069, 1.135]",1.1203602484999997,0.0,2,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.135, 1.202]",1.1887078203749997,0.0,8,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.202, 1.268]",1.2255997264285714,0.0,7,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.268, 1.335]",1.3034475066666664,0.0,6,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.335, 1.401]",1.3840186659473683,0.0,19,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.401, 1.468]",1.4330675138,0.00035514967021816333,30,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.468, 1.534]",1.5166068762954545,0.00011001176546881225,44,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.534, 1.601]",1.5610210165833334,0.0019927536231884057,48,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.601, 1.667]",1.6336843623666666,0.0,30,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.667, 1.734]",1.701976929689189,0.000664599025254763,74,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.734, 1.8]",1.7707246785726494,0.00015634771732332708,117,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.8, 1.867]",1.83704971535,0.00047359538239970955,100,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.867, 1.933]",1.9022867627884614,3.845384769200005e-06,156,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,1,"(1.933, 2.0]",1.96904527920339,0.0,59,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.00196, 0.0714]",0.04398702553448267,0.26477192087721235,58,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.0714, 0.138]",0.10077595226666654,0.2063045808552601,30,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.138, 0.204]",0.17379468858252412,0.3026129080029094,103,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.204, 0.271]",0.23497001831666653,0.25272965957409843,60,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.271, 0.337]",0.28458346779999993,0.16999999999999998,5,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.337, 0.404]",0.37998457225,0.08823529411764705,4,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.404, 0.47]",0.4409258083199999,0.22535244707605892,25,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,Dutch,2,"(0.47, 0.537]",0.49621314934736827,0.16889536669850314,95,30
