metric	value
total_species_pairs_after_min_10_genome_pair_filter	2821
number_of_COG24_categories_plotted	24
presence_matrix_rows	2821
presence_matrix_category_columns	24
top_category	Defense mechanisms (V)
top_category_species_pair_count	301
top_category_frequency	0.106699751861042
lowest_category	RNA processing and modification (A)
lowest_category_species_pair_count	15
lowest_category_frequency	0.0053172633817795
