metric	value
total_genome_pair_rows_in_source_table	546926
total_species_pairs	8217
species_pairs_with_any_ARG_CAZyme_or_Virulence	262
species_pairs_with_no_ARG_CAZyme_or_Virulence	7955
set_size_ARG	195
set_size_CAZyme	151
set_size_Virulence	109
intersection_None	7955
intersection_ARG	87
intersection_ARG&CAZyme&Virulence	67
intersection_CAZyme	34
intersection_ARG&CAZyme	32
intersection_CAZyme&Virulence	18
intersection_Virulence	15
intersection_ARG&Virulence	9
