species_pair,phylogeny,HGT_total_genome_pair_IBD,HGT_positive_genome_pair_IBD,HGT_rate_IBD,HGT_total_genome_pair_non_IBD,HGT_positive_genome_pair_non_IBD,HGT_rate_non_IBD,plasmid_HGT_total_genome_pair_IBD,plasmid_HGT_positive_genome_pair_IBD,plasmid_HGT_rate_IBD,plasmid_HGT_total_genome_pair_non_IBD,plasmid_HGT_positive_genome_pair_non_IBD,plasmid_HGT_rate_non_IBD,nonplasmid_HGT_total_genome_pair_IBD,nonplasmid_HGT_total_genome_pair_non_IBD,nonplasmid_HGT_positive_genome_pair_IBD,nonplasmid_HGT_positive_genome_pair_non_IBD,nonplasmid_HGT_rate_IBD,nonplasmid_HGT_rate_non_IBD
229_3-44_3,2.327631928,71,0,0.0,128,0,0.0,71,0,0.0,128,0,0.0,71.0,128.0,0.0,0.0,0.0,0.0
229_3-45_1,2.407098240999999,986,0,0.0,360,0,0.0,986,0,0.0,360,0,0.0,986.0,360.0,0.0,0.0,0.0,0.0
229_3-48_2,2.337943616999999,131,0,0.0,542,1,0.0018450184501845,131,0,0.0,542,1,0.0018450184501845,131.0,542.0,0.0,0.0,0.0,0.0
229_3-66_5,1.949445794,271,0,0.0,832,0,0.0,271,0,0.0,832,0,0.0,271.0,832.0,0.0,0.0,0.0,0.0
229_3-96_1,0.7980964069999996,59,0,0.0,121,0,0.0,59,0,0.0,121,0,0.0,59.0,121.0,0.0,0.0,0.0,0.0
233_3-338_1,1.86889933,246,48,0.1951219512195122,120,0,0.0,246,48,0.1951219512195122,120,0,0.0,246.0,120.0,0.0,0.0,0.0,0.0
233_3-45_1,2.409430878,339,0,0.0,23,0,0.0,339,0,0.0,23,0,0.0,339.0,23.0,0.0,0.0,0.0,0.0
233_3-48_2,2.3402762539999995,68,1,0.0147058823529411,50,0,0.0,68,1,0.0147058823529411,50,0,0.0,68.0,50.0,0.0,0.0,0.0,0.0
233_3-66_5,1.951778431,93,0,0.0,67,0,0.0,93,0,0.0,67,0,0.0,93.0,67.0,0.0,0.0,0.0,0.0
26_2-335_1,2.011336148,698,0,0.0,2113,0,0.0,698,0,0.0,2113,0,0.0,698.0,2113.0,0.0,0.0,0.0,0.0
26_2-338_1,2.0455019299999995,807,0,0.0,1505,0,0.0,807,0,0.0,1505,0,0.0,807.0,1505.0,0.0,0.0,0.0,0.0
26_2-44_1,0.5024551509999999,125,22,0.176,37,13,0.3513513513513513,125,0,0.0,37,5,0.1351351351351351,125.0,37.0,22.0,9.0,0.176,0.2432432432432432
26_2-44_3,0.5031655909999997,26,5,0.1923076923076923,127,36,0.2834645669291338,26,0,0.0,127,2,0.0157480314960629,26.0,127.0,5.0,35.0,0.1923076923076923,0.2755905511811024
26_2-45_1,0.1778537720000002,1008,339,0.3363095238095238,743,426,0.5733512786002691,1008,29,0.0287698412698412,743,37,0.0497981157469717,1008.0,743.0,311.0,407.0,0.308531746031746,0.5477792732166891
26_2-46_1,0.4512552799999998,71,4,0.056338028169014,238,102,0.4285714285714285,71,0,0.0,238,9,0.0378151260504201,71.0,238.0,4.0,99.0,0.056338028169014,0.4159663865546218
26_2-48_2,0.5134772799999996,175,68,0.3885714285714285,479,203,0.4237995824634655,175,0,0.0,479,1,0.0020876826722338,175.0,479.0,68.0,202.0,0.3885714285714285,0.4217118997912317
26_2-66_5,1.924133625,59,0,0.0,1139,0,0.0,59,0,0.0,1139,0,0.0,59.0,1139.0,0.0,0.0,0.0,0.0
26_2-96_1,2.554473698,41,0,0.0,72,0,0.0,41,0,0.0,72,0,0.0,41.0,72.0,0.0,0.0,0.0,0.0
26_2-97_1,2.5866217789999992,66,0,0.0,56,0,0.0,66,0,0.0,56,0,0.0,66.0,56.0,0.0,0.0,0.0,0.0
318_56-335_1,1.028981413,842,0,0.0,3387,1,0.0002952465308532,842,0,0.0,3387,0,0.0,842.0,3387.0,0.0,1.0,0.0,0.0002952465308532
318_56-338_1,1.063147195,292,0,0.0,2911,1,0.0003435245620061,292,0,0.0,2911,0,0.0,292.0,2911.0,0.0,1.0,0.0,0.0003435245620061
318_56-45_1,1.857259509,291,0,0.0,1193,0,0.0,291,0,0.0,1193,0,0.0,291.0,1193.0,0.0,0.0,0.0,0.0
318_56-48_2,1.788104885,65,0,0.0,547,2,0.0036563071297989,65,0,0.0,547,2,0.0036563071297989,65.0,547.0,0.0,0.0,0.0,0.0
318_56-66_5,1.399607062,138,0,0.0,1624,2,0.001231527093596,138,0,0.0,1624,0,0.0,138.0,1624.0,0.0,2.0,0.0,0.001231527093596
326_1-32_1,1.814603062,135,0,0.0,63,0,0.0,135,0,0.0,63,0,0.0,135.0,63.0,0.0,0.0,0.0,0.0
326_1-334_1,1.081433596,161,0,0.0,29,0,0.0,161,0,0.0,29,0,0.0,161.0,29.0,0.0,0.0,0.0,0.0
326_1-335_1,1.0786370989999998,547,0,0.0,521,0,0.0,547,0,0.0,521,0,0.0,547.0,521.0,0.0,0.0,0.0,0.0
326_1-338_1,1.112802881,529,0,0.0,1388,2,0.0014409221902017,529,0,0.0,1388,2,0.0014409221902017,529.0,1388.0,0.0,1.0,0.0,0.0007204610951008
326_1-45_1,1.906915195,204,0,0.0,217,0,0.0,204,0,0.0,217,0,0.0,204.0,217.0,0.0,0.0,0.0,0.0
326_1-48_2,1.837760571,113,0,0.0,363,0,0.0,113,0,0.0,363,0,0.0,113.0,363.0,0.0,0.0,0.0,0.0
326_1-66_5,1.4492627480000002,598,0,0.0,716,14,0.0195530726256983,598,0,0.0,716,14,0.0195530726256983,598.0,716.0,0.0,0.0,0.0,0.0
32_1-335_1,1.895598829,382,0,0.0,1524,0,0.0,382,0,0.0,1524,0,0.0,382.0,1524.0,0.0,0.0,0.0,0.0
32_1-338_1,1.929764611,385,0,0.0,1476,0,0.0,385,0,0.0,1476,0,0.0,385.0,1476.0,0.0,0.0,0.0,0.0
32_1-44_1,0.1365559819999999,117,86,0.7350427350427351,64,17,0.265625,117,1,0.0085470085470085,64,1,0.015625,117.0,64.0,85.0,16.0,0.7264957264957265,0.25
32_1-44_3,0.1372664219999997,133,37,0.2781954887218045,139,17,0.1223021582733813,133,0,0.0,139,2,0.014388489208633,133.0,139.0,37.0,17.0,0.2781954887218045,0.1223021582733813
32_1-45_1,0.4668945849999999,682,275,0.4032258064516129,693,285,0.4112554112554112,682,0,0.0,693,146,0.2106782106782107,682.0,693.0,275.0,270.0,0.4032258064516129,0.3896103896103896
32_1-48_2,0.1919920209999994,329,220,0.668693009118541,432,141,0.3263888888888889,329,145,0.4407294832826747,432,19,0.0439814814814814,329.0,432.0,185.0,137.0,0.5623100303951368,0.3171296296296296
32_1-66_5,1.808396306,617,0,0.0,913,9,0.0098576122672508,617,0,0.0,913,9,0.0098576122672508,617.0,913.0,0.0,0.0,0.0,0.0
334_1-335_1,0.053550731,460,0,0.0,1152,66,0.0572916666666666,460,0,0.0,1152,6,0.0052083333333333,460.0,1152.0,0.0,60.0,0.0,0.0520833333333333
334_1-338_1,0.2038262610000001,579,0,0.0,1736,68,0.0391705069124423,579,0,0.0,1736,0,0.0,579.0,1736.0,0.0,68.0,0.0,0.0391705069124423
334_1-45_1,1.990707459,616,0,0.0,928,0,0.0,616,0,0.0,928,0,0.0,616.0,928.0,0.0,0.0,0.0,0.0
334_1-48_2,1.921552835,328,0,0.0,287,0,0.0,328,0,0.0,287,0,0.0,328.0,287.0,0.0,0.0,0.0,0.0
334_1-66_5,1.533055012,260,0,0.0,797,0,0.0,260,0,0.0,797,0,0.0,260.0,797.0,0.0,0.0,0.0,0.0
334_3-66_5,1.540201376,545,0,0.0,506,0,0.0,545,0,0.0,506,0,0.0,545.0,506.0,0.0,0.0,0.0,0.0
335_1-336_1,0.1848525299999996,243,0,0.0,299,0,0.0,243,0,0.0,299,0,0.0,243.0,299.0,0.0,0.0,0.0,0.0
335_1-338_1,0.2010297639999998,14435,36,0.002493938344302,25260,72,0.0028503562945368,14435,11,0.0007620367163145,25260,2,7.917656373713381e-05,14435.0,25260.0,29.0,70.0,0.0020090058884655,0.0027711797307996
335_1-42_2,1.896073061,282,0,0.0,1394,0,0.0,282,0,0.0,1394,0,0.0,282.0,1394.0,0.0,0.0,0.0,0.0
335_1-44_1,1.907734209,1458,0,0.0,982,0,0.0,1458,0,0.0,982,0,0.0,1458.0,982.0,0.0,0.0,0.0,0.0
335_1-44_3,1.9084446489999995,496,0,0.0,2004,0,0.0,496,0,0.0,2004,0,0.0,496.0,2004.0,0.0,0.0,0.0,0.0
