variant	af	lrt-pvalue	beta	notes	fdr	log10p
spsF	7.94E-02	2.15E-03	1.44E+00		0.0405831	2.667562
group_22983	7.94E-02	2.15E-03	1.44E+00		0.0405831	2.667562
7-alpha-hydroxysteroid dehydrogenase	7.94E-02	2.15E-03	1.44E+00		0.0405831	2.667562
Aldo/keto reductase	7.94E-02	2.15E-03	1.44E+00		0.0405831	2.667562
HEPN domain protein	6.67E-01	2.17E-03	1.20E+00		0.0408217	2.663540
Transpeptidase domain-containing protein	1.63E-01	2.17E-03	1.11E+00		0.0408217	2.663540
group_11842	9.66E-02	2.18E-03	1.55E+00		0.0409405	2.661544
Rep-3 domain-containing protein	4.29E-01	2.19E-03	9.86E-01		0.0410588	2.659556
group_23955	3.00E-02	2.22E-03	2.43E+00		0.0414363	2.653647
group_33499	3.00E-02	2.22E-03	2.43E+00		0.0414363	2.653647
GSCFA domain-containing protein	8.39E-01	2.23E-03	-1.08E+00		0.0414363	2.651695
group_18547	1.20E-01	2.24E-03	-1.70E+00		0.0414363	2.649752
group_22114	1.20E-01	2.24E-03	-1.70E+00		0.0414363	2.649752
group_18550	1.20E-01	2.24E-03	-1.70E+00		0.0414363	2.649752
group_29310	1.20E-01	2.24E-03	-1.70E+00		0.0414363	2.649752
group_22113	1.20E-01	2.24E-03	-1.70E+00		0.0414363	2.649752
group_31225	8.80E-02	2.28E-03	1.62E+00		0.0420361	2.642065
group_31145	5.79E-02	2.28E-03	1.62E+00		0.0420361	2.642065
Efflux ABC transporter, permease protein	7.51E-01	2.30E-03	-1.00E+00		0.0423345	2.638272
DUF551 domain-containing protein	2.21E-01	2.32E-03	1.45E+00		0.0423514	2.634512
DUF4258 domain-containing protein	2.21E-01	2.32E-03	1.45E+00		0.0423514	2.634512
group_21602	2.36E-01	2.32E-03	1.39E+00		0.0423514	2.634512
group_28527	2.36E-01	2.32E-03	1.39E+00		0.0423514	2.634512
hicA	2.36E-01	2.32E-03	1.39E+00		0.0423514	2.634512
group_2149	3.86E-02	2.33E-03	1.85E+00		0.0423945	2.632644
group_8148	2.32E-01	2.33E-03	1.07E+00		0.0423945	2.632644
group_12385	8.61E-01	2.35E-03	-1.13E+00		0.0426885	2.628932
group_1754	6.97E-01	2.36E-03	-1.22E+00		0.0428001	2.627088
DUF2776 domain-containing protein	6.42E-01	2.37E-03	-1.04E+00		0.0429113	2.625252
group_3634	3.65E-01	2.39E-03	-1.30E+00		0.0432029	2.621602
group_31200	9.01E-02	2.40E-03	1.62E+00		0.0433132	2.619789
bspA	6.91E-01	2.42E-03	1.42E+00		0.0436032	2.616185
SLC13 family permease	6.57E-01	2.43E-03	-1.18E+00		0.0437124	2.614394
group_14462	1.63E-01	2.45E-03	1.10E+00		0.0437287	2.610834
group_18197	1.31E-01	2.47E-03	2.94E+00		0.0437287	2.607303
Transposase/invertase (TIGR01784 family)	1.31E-01	2.47E-03	2.94E+00		0.0437287	2.607303
Glycosyl transferase 2 family protein	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_23505	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_23506	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_23507	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_23508	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_32166	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_32167	9.66E-02	2.48E-03	-1.83E+00		0.0437287	2.605548
group_11139	1.09E-01	2.48E-03	1.58E+00		0.0437287	2.605548
group_29744	1.61E-01	2.48E-03	1.11E+00		0.0437287	2.605548
group_18539	8.15E-02	2.49E-03	1.41E+00		0.0437287	2.603801
Diaminopimelate decarboxylase	8.15E-02	2.49E-03	1.41E+00		0.0437287	2.603801
group_30951	8.15E-02	2.49E-03	1.41E+00		0.0437287	2.603801
group_22899	1.18E-01	2.53E-03	-1.69E+00		0.0443609	2.596879
group_8508	2.23E-01	2.54E-03	-2.33E+00		0.044396	2.595166
group_22134	1.05E-01	2.54E-03	1.31E+00		0.044396	2.595166
group_3245	1.05E-01	2.55E-03	1.27E+00		0.0445007	2.593460
Por-Secre-tail domain-containing protein	2.25E-01	2.59E-03	1.04E+00		0.0449163	2.586700
DUF5045 domain-containing protein	2.25E-01	2.59E-03	1.04E+00		0.0449163	2.586700
DUF4141 domain-containing protein	2.25E-01	2.59E-03	1.04E+00		0.0449163	2.586700
group_21766	2.25E-01	2.59E-03	1.04E+00		0.0449163	2.586700
group_1960	7.94E-02	2.62E-03	1.95E+00		0.0453656	2.581699
Polysaccharide pyruvyl transferase	2.36E-01	2.64E-03	-2.36E+00		0.0456407	2.578396
group_3423	7.51E-02	2.66E-03	1.40E+00		0.045915	2.575118
group_13223	3.65E-02	2.67E-03	1.79E+00		0.0459447	2.573489
group_19199	3.65E-02	2.67E-03	1.79E+00		0.0459447	2.573489
group_16003	4.51E-02	2.69E-03	1.72E+00		0.0462172	2.570248
ATP synthase subunit alpha, mitochondrial	2.66E-01	2.70E-03	1.31E+00		0.0463173	2.568636
group_14017	1.20E-01	2.72E-03	1.16E+00		0.0465884	2.565431
group_10649	3.00E-02	2.74E-03	2.77E+00		0.0467147	2.562249
group_21512	6.65E-02	2.74E-03	2.43E+00		0.0467147	2.562249
zraR	2.73E-01	2.74E-03	1.05E+00		0.0467147	2.562249
group_10001	3.00E-02	2.76E-03	1.97E+00		0.0469835	2.559091
DUF5611 domain-containing protein	1.57E-01	2.77E-03	1.18E+00		0.0470815	2.557520
group_23504	9.44E-02	2.79E-03	-1.82E+00		0.0473489	2.554396
group_7590	2.32E-01	2.80E-03	-1.16E+00		0.0474461	2.552842
group_16330	1.63E-01	2.82E-03	1.08E+00		0.0476395	2.549751
group_11703	1.63E-01	2.82E-03	1.08E+00		0.0476395	2.549751
group_14212	5.58E-02	2.85E-03	1.52E+00		0.0480732	2.545155
group_3771	9.25E-01	2.86E-03	-1.48E+00		0.0481686	2.543634
group_31203	8.15E-02	2.89E-03	1.77E+00		0.0484533	2.539102
group_31204	8.15E-02	2.89E-03	1.77E+00		0.0484533	2.539102
group_705	2.92E-01	2.89E-03	-1.15E+00		0.0484533	2.539102
group_1643	3.11E-01	2.90E-03	1.18E+00		0.0485477	2.537602
group_8513	2.58E-02	2.92E-03	2.49E+00		0.0488089	2.534617
group_4631	7.51E-02	2.98E-03	1.58E+00		0.0497369	2.525784
