variant	af	lrt-pvalue	beta	notes	fdr	log10p
ftsH	9.51E-01	2.80E-04	-2.12E+00		0.00950373	3.552842
group_6948	9.06E-01	2.82E-04	-1.49E+00		0.00954243	3.549751
group_5837	3.22E-02	2.89E-04	2.47E+00		0.00974958	3.539102
group_11567	9.44E-02	3.06E-04	1.59E+00		0.0102632	3.514279
group_18318	8.15E-02	3.07E-04	1.69E+00		0.0102632	3.512862
group_29032	8.15E-02	3.07E-04	1.69E+00		0.0102632	3.512862
group_31252	4.94E-02	3.11E-04	1.91E+00		0.0103657	3.507240
group_31238	6.22E-02	3.15E-04	1.76E+00		0.0104676	3.501689
group_31254	7.30E-02	3.16E-04	2.15E+00		0.0104695	3.500313
Dicarboxylate/amino acid:cation symporter	5.92E-01	3.17E-04	-1.23E+00		0.0104714	3.498941
group_23136	4.08E-02	3.22E-04	2.24E+00		0.0105199	3.492144
group_18548	1.18E-01	3.26E-04	-2.19E+00		0.0105199	3.486782
group_23147	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
group_16631	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
group_19227	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
group_23149	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
UPF0102 protein	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
AAA-15 domain-containing protein	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
group_23148	7.30E-02	3.27E-04	1.76E+00		0.0105199	3.485452
group_11491	7.73E-02	3.34E-04	1.62E+00		0.0107141	3.476254
group_22424	1.29E-01	3.39E-04	1.44E+00		0.0108431	3.469800
putative transporter	9.03E-01	3.46E-04	-1.46E+00		0.0110352	3.460924
group_6774	1.12E-01	3.47E-04	1.42E+00		0.0110354	3.459671
group_4818	7.51E-02	3.48E-04	1.63E+00		0.0110356	3.458421
group_15716	7.66E-01	3.52E-04	-1.22E+00		0.011099	3.453457
group_14459	7.73E-02	3.53E-04	1.61E+00		0.011099	3.452225
group_14460	7.73E-02	3.53E-04	1.61E+00		0.011099	3.452225
group_22139	4.94E-02	3.56E-04	1.89E+00		0.0111617	3.448550
group_1759	3.76E-01	3.60E-04	-1.51E+00		0.0112553	3.443697
group_2408	5.71E-01	3.64E-04	1.23E+00		0.0113484	3.438899
uxaC	8.67E-01	3.66E-04	-1.36E+00		0.011378	3.436519
group_13702	9.61E-01	3.67E-04	-2.04E+00		0.011378	3.435334
group_16616	7.94E-02	3.69E-04	2.02E+00		0.0114082	3.432974
bioA	8.35E-01	3.77E-04	-1.31E+00		0.0116217	3.423659
group_13630	2.36E-02	3.78E-04	2.62E+00		0.0116217	3.422508
