letter,category_name,main_beta,main_or,main_lrt_p,down_prop_sig,leave_top5_lrt_p,n_beta_pos,n_beta_neg,prop_beta_pos,prop_beta_neg,n_sig,n_sig_pos,n_sig_neg,prop_sig_pos,prop_sig_neg,median_beta,median_or,label,down_label
C,Energy production and conversion,2.4323260404324385,11.385334051237695,0,1,0,100,0,1,0,100,100,0,1,0,1.3489895371472849,3.853529714124256,Energy production and conversion (C),100%
B,Chromatin structure and dynamics,2.629293406426805,13.863970248075091,1.72024365e-299,1,3.325413925291205e-265,100,0,1,0,100,100,0,1,0,1.1692051913603336,3.219433689692968,Chromatin structure and dynamics (B),100%
H,Coenzyme transport and metabolism,0.9147395383653708,2.496125022425068,6.862216594533594e-113,1,4.926606020744771e-187,100,0,1,0,100,100,0,1,0,1.0470758445925217,2.849307110746535,Coenzyme transport and metabolism (H),100%
R,General function prediction only,0.4685444802815293,1.5976670641216797,9.562519561916518e-42,1,1.1782153857183985e-105,100,0,1,0,100,100,0,1,0,0.48431231420316423,1.6230586563350342,General function prediction only (R),100%
K,Transcription,0.3929641178293369,1.481365233775469,1.3936630498644934e-30,1,1.2502615393497218e-64,100,0,1,0,100,100,0,1,0,0.3986982361807193,1.4898839813021554,Transcription (K),100%
L,"Replication, recombination and repair",0.3093714718307449,1.362568432293812,8.425307400041158e-29,1,2.3200884515203307e-99,100,0,1,0,100,100,0,1,0,0.3165594889214399,1.3723979143132794,"Replication, recombination and repair (L)",100%
U,"Intracellular trafficking, secretion, and vesicular transport",0.3449669207891125,1.4119432129278509,4.529307122422089e-25,1,2.1309725893552088e-79,100,0,1,0,100,100,0,1,0,0.3709879602927951,1.4491656281002538,"Intracellular trafficking, secretion, and vesicular transport (U)",100%
