category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label
C,Energy production and conversion,Parabacteroides_merdae | Bacteroides_intestinigallinarum,26_2-44_5,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,3,2,3,1.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0,2,1,0,0.0,0.3333333333333333,0.06666666666666667,-3.9068905956085187,0.4771212547196625,0.9123037895182899,False,nonIBD_enriched,Parabacteroides_merdae | Bacteroides_intestinigallinarum | COG0716
C,Energy production and conversion,Bacteroides_caccae | Parabacteroides_distasonis,43_1-45_1,COG0716,Flavodoxin (FldA) (PDB:1AG9),6,2,6,6,2,6,0,0,0,616,66,616,475.0,63.0,475.0,141.0,3.0,141.0,0.0097402597402597,0.0303030303030303,0.0097402597402597,0.0126315789473684,0.0317460317460317,0.0126315789473684,0.0,0.0,0.0,0,141,6,469,0.0,0.34519602846638,0.2552324001087252,-1.9701166133191998,0.4619342095531721,0.9123037895182899,False,nonIBD_enriched,Bacteroides_caccae | Parabacteroides_distasonis | COG0716
C,Energy production and conversion,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG1035,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",1,1,1,1,1,1,0,0,0,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.000215470803706,0.0045045045045045,0.000215470803706,0.0004965243296921,0.0049504950495049,0.0004965243296921,0.0,0.0,0.0,0,2627,1,2013,0.0,0.43395819866408103,0.25543926419283225,-1.9689477926249428,0.36255210220143075,1.0,False,nonIBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG1035
C,Energy production and conversion,Parabacteroides_distasonis | Bacteroides_uniformis,45_1-48_2,COG1853,"FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)",1,1,1,1,1,1,0,0,0,4641,222,4641,2014.0,202.0,2014.0,2627.0,20.0,2627.0,0.000215470803706,0.0045045045045045,0.000215470803706,0.0004965243296921,0.0049504950495049,0.0004965243296921,0.0,0.0,0.0,0,2627,1,2013,0.0,0.43395819866408103,0.25543926419283225,-1.9689477926249428,0.36255210220143075,1.0,False,nonIBD_enriched,Parabacteroides_distasonis | Bacteroides_uniformis | COG1853
C,Energy production and conversion,Bacteroides_nordii | Bacteroides_uniformis,37_1-48_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,69,17,69,34.0,14.0,34.0,35.0,3.0,35.0,0.0144927536231884,0.0588235294117647,0.0144927536231884,0.0294117647058823,0.0714285714285714,0.0294117647058823,0.0,0.0,0.0,0,35,1,33,0.0,0.49275362318840593,0.3145539906103286,-1.6686204297680658,0.3073701736950001,1.0,False,nonIBD_enriched,Bacteroides_nordii | Bacteroides_uniformis | COG0716
C,Energy production and conversion,Limosilactobacillus_fermentum | Lactiplantibacillus_plantarum,112_1-125_1,COG1249,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:4JDR) (PUBMED:8061609),12,1,12,12,1,12,0,0,0,56,14,56,52.0,13.0,52.0,4.0,1.0,4.0,0.2142857142857142,0.0714285714285714,0.2142857142857142,0.2307692307692307,0.0769230769230769,0.2307692307692307,0.0,0.0,0.0,0,4,12,40,0.0,0.5672955974842768,0.36,-1.4739311883324124,0.2461905867785097,1.0,False,nonIBD_enriched,Limosilactobacillus_fermentum | Lactiplantibacillus_plantarum | COG1249
C,Energy production and conversion,Phocaeicola_vulgatus | Bacteroides_uniformis,46_1-48_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),14,2,14,14,2,14,0,0,0,900,161,900,836.0,153.0,836.0,64.0,8.0,64.0,0.0155555555555555,0.0124223602484472,0.0155555555555555,0.0167464114832535,0.0130718954248366,0.0167464114832535,0.0,0.0,0.0,0,64,14,822,0.0,0.6154047409385066,0.4397219994653836,-1.1853363819282223,0.2108391623695133,1.0,False,nonIBD_enriched,Phocaeicola_vulgatus | Bacteroides_uniformis | COG0716
C,Energy production and conversion,Collinsella_sp900541125 | Bifidobacterium_adolescentis,318_54-335_1,COG1035,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",2,1,2,2,1,2,0,0,0,542,22,542,542.0,22.0,542.0,0.0,0.0,0.0,0.003690036900369,0.0454545454545454,0.003690036900369,0.003690036900369,0.0454545454545454,0.003690036900369,0.0,0.0,0.0,0,0,2,540,,1.0,216.2,7.756222712847288,-0.0,1.0,False,IBD_enriched,Collinsella_sp900541125 | Bifidobacterium_adolescentis | COG1035
C,Energy production and conversion,Bacteroides_cellulosilyticus | Phocaeicola_vulgatus,39_5-46_1,COG1035,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",1,1,1,1,1,1,0,0,0,135,50,135,135.0,50.0,135.0,0.0,0.0,0.0,0.0074074074074074,0.02,0.0074074074074074,0.0074074074074074,0.02,0.0074074074074074,0.0,0.0,0.0,0,0,1,134,,1.0,89.66666666666667,6.486499861835468,-0.0,1.0,False,IBD_enriched,Bacteroides_cellulosilyticus | Phocaeicola_vulgatus | COG1035
C,Energy production and conversion,Parabacteroides_johnsonii | Bacteroides_uniformis,26_3-48_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,115,18,115,115.0,18.0,115.0,0.0,0.0,0.0,0.008695652173913,0.0555555555555555,0.008695652173913,0.008695652173913,0.0555555555555555,0.008695652173913,0.0,0.0,0.0,0,0,1,114,,1.0,76.33333333333333,6.2542412873757876,-0.0,1.0,False,IBD_enriched,Parabacteroides_johnsonii | Bacteroides_uniformis | COG0716
C,Energy production and conversion,Bacteroides_thetaiotaomicron | Bacteroides_caccae,42_2-43_1,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,76,27,76,76.0,27.0,76.0,0.0,0.0,0.0,0.0131578947368421,0.037037037037037,0.0131578947368421,0.0131578947368421,0.037037037037037,0.0131578947368421,0.0,0.0,0.0,0,0,1,75,,1.0,50.333333333333336,5.6534422386039225,-0.0,1.0,False,IBD_enriched,Bacteroides_thetaiotaomicron | Bacteroides_caccae | COG0716
