trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.135, 1.202]",1.1644089819999996,0.0,3,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.202, 1.268]",1.2381762584545453,0.0,11,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.268, 1.335]",1.2847862127142855,0.0,7,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.335, 1.401]",1.3657545848571429,0.0,7,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.401, 1.468]",1.433296505,0.0,4,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.468, 1.534]",1.5008958691538459,0.0,13,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.534, 1.601]",1.5580008583333331,0.0,6,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.601, 1.667]",1.6363387306315789,0.0,19,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.667, 1.734]",1.7055564614090906,0.0,22,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.734, 1.8]",1.7707733087777777,0.0,18,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.8, 1.867]",1.8384753686363635,0.0,33,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.867, 1.933]",1.8907129279090908,0.0,33,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,0,"(1.933, 2.0]",1.9733295314800001,0.0012227074235807859,25,27
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.404, 0.47]",0.4457321559999999,0.0,3,24
