species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
102_1-102_2,6,2,0.3333333333333333,0.0118188410000001,0
102_1-104_1,2,0,0.0,0.2697753679999999,0
102_1-107_1,9,4,0.4444444444444444,0.2829952019999999,0
102_1-109_2,3,0,0.0,0.2342647489999998,0
102_1-10_2,24,0,0.0,2.352914594999999,0
102_1-112_1,103,14,0.13592233009708737,0.9454678789999996,0
102_1-113_1,23,0,0.0,0.907467714,0
102_1-114_1,25,0,0.0,0.9033137549999996,0
102_1-114_2,5,0,0.0,0.903031511,0
102_1-116_1,9,0,0.0,0.9045483159999996,0
102_1-119_1,22,0,0.0,0.7897902179999994,0
102_1-11_1,15,0,0.0,2.336148255999999,0
102_1-120_1,65,0,0.0,0.7895888919999994,0
102_1-122_1,2,0,0.0,0.8739997449999999,0
102_1-123_0,1,0,0.0,0.89570185,0
102_1-124_1,4,0,0.0,0.859649514,0
102_1-125_1,43,1,0.023255813953488372,0.8170282559999995,0
102_1-12_1,3,0,0.0,2.3426962259999997,0
102_1-14_1,18,0,0.0,2.424599744,0
102_1-150_1,3,0,0.0,1.7039514939999996,0
102_1-178_1,2,0,0.0,1.396684143999999,0
102_1-179_1,20,0,0.0,1.4410200539999996,0
102_1-180_1,11,0,0.0,1.4534958189999996,0
102_1-181_1,2,0,0.0,1.4444048039999997,0
102_1-181_3,5,0,0.0,1.4482344399999991,0
102_1-186_1,1,0,0.0,1.6162140349999992,0
102_1-196_1,2,0,0.0,1.0354392459999993,1
102_1-200_1,1,0,0.0,0.9651868899999996,1
102_1-20_1,17,0,0.0,2.664804642999999,0
102_1-210_1,3,0,0.0,1.4000530009999994,0
102_1-223_1,53,0,0.0,0.8341720129999994,0
102_1-228_2,4,0,0.0,0.9393101279999994,0
102_1-229_1,4,0,0.0,0.9204803589999996,0
102_1-229_2,6,0,0.0,0.9239850849999997,0
102_1-229_3,234,0,0.0,0.9209054669999994,0
102_1-22_1,2,0,0.0,2.673164441999999,0
102_1-233_1,5,0,0.0,0.9219775619999996,0
102_1-233_3,16,0,0.0,0.9232381039999996,0
102_1-234_1,5,0,0.0,0.9163748169999996,0
102_1-234_2,50,0,0.0,0.9130202289999994,0
102_1-236_1,5,0,0.0,0.9134872069999996,0
102_1-238_3,45,0,0.0,0.9013490939999992,0
102_1-239_1,20,0,0.0,0.9013522339999996,0
102_1-240_1,24,0,0.0,0.9628806119999992,0
102_1-246_1,2,0,0.0,1.0767957569999993,1
102_1-24_2,2,0,0.0,2.673104534999999,0
102_1-252_1,1,0,0.0,1.4666860129999997,0
102_1-25_1,1,0,0.0,2.671095009999999,0
102_1-269_1,2,0,0.0,0.9290033789999992,0
102_1-26_2,80,0,0.0,2.677282757999999,0
102_1-26_3,6,0,0.0,2.666389699999999,0
102_1-283_1,6,0,0.0,1.6342709149999997,0
102_1-297_1,2,0,0.0,0.9772324929999998,0
102_1-298_1,2,0,0.0,1.1908491269999997,0
102_1-300_1,5,0,0.0,1.1974554489999996,0
102_1-312_1,1,0,0.0,1.9611759239999995,0
102_1-318_13,1,0,0.0,1.9553668179999997,0
102_1-318_19,1,0,0.0,1.9485888139999996,0
102_1-318_21,5,0,0.0,1.9478648419999995,0
102_1-318_38,1,0,0.0,1.9500121259999996,0
102_1-318_39,9,0,0.0,1.9516338509999995,0
102_1-318_40,1,0,0.0,1.9489708999999995,0
102_1-318_42,2,0,0.0,1.9502263629999996,0
102_1-318_5,18,0,0.0,1.9558760029999995,0
102_1-318_54,10,0,0.0,1.9508853369999997,0
102_1-318_56,77,0,0.0,1.9485087889999997,0
102_1-318_79,3,0,0.0,1.9486735849999997,0
102_1-318_8,2,0,0.0,1.9572905039999997,0
102_1-318_82,1,0,0.0,1.9500981029999995,0
102_1-325_1,1,0,0.0,2.0176504299999998,0
102_1-326_1,39,0,0.0,1.9981644749999996,0
102_1-32_1,52,0,0.0,2.561545438999999,0
102_1-330_1,17,0,0.0,2.100484924,0
102_1-332_1,7,0,0.0,2.1270972909999992,0
102_1-333_1,5,0,0.0,2.065938578999999,0
102_1-334_1,61,0,0.0,2.081956739,0
102_1-334_3,33,0,0.0,2.089103103,0
102_1-335_1,1123,0,0.0,2.0791602419999995,0
102_1-336_1,34,0,0.0,2.0971487899999994,0
102_1-337_1,2,0,0.0,2.121150759,0
102_1-338_1,625,0,0.0,2.113326023999999,0
102_1-36_1,9,0,0.0,2.579175958999999,0
102_1-37_1,7,0,0.0,2.572712372,0
102_1-38_1,1,0,0.0,2.5586034799999995,0
102_1-39_2,22,0,0.0,2.566557028,0
102_1-39_3,2,0,0.0,2.572764141999999,0
102_1-39_5,45,0,0.0,2.571320024999999,0
102_1-40_1,3,0,0.0,2.568130913,0
102_1-41_1,1,0,0.0,2.575852714,0
102_1-42_1,5,0,0.0,2.562811949999999,0
102_1-42_2,54,0,0.0,2.5620196709999994,0
102_1-43_1,34,0,0.0,2.5686086809999997,0
102_1-44_1,6,0,0.0,2.573680819,0
102_1-44_3,100,0,0.0,2.574391258999999,0
102_1-44_5,3,0,0.0,2.576774999999999,0
102_1-45_1,379,0,0.0,2.6538575719999997,0
102_1-46_1,127,0,0.0,2.5224809479999992,0
102_1-47_2,7,0,0.0,2.5268904629999995,0
102_1-48_2,258,0,0.0,2.584702947999999,0
102_1-4_2,4,0,0.0,2.4681989519999994,0
102_1-4_3,2,0,0.0,2.4659556,0
102_1-50_1,3,0,0.0,2.5796658649999995,0
102_1-51_1,8,0,0.0,2.582244094999999,0
102_1-52_1,3,0,0.0,2.5867789359999995,0
102_1-66_2,2,0,0.0,2.198096145,1
102_1-66_3,19,0,0.0,2.2032473409999995,1
102_1-66_5,473,0,0.0,2.196205124999999,1
102_1-69_1,2,0,0.0,2.193357081,1
102_1-76_2,54,0,0.0,2.1925789609999997,0
102_1-76_3,1,0,0.0,2.1823777859999995,0
102_1-77_2,4,0,0.0,2.181037997,0
102_1-78_3,12,0,0.0,2.1819024549999995,0
102_1-80_1,12,0,0.0,2.098586885,1
102_1-90_1,21,0,0.0,0.7230291499999995,0
102_1-91_1,1,0,0.0,0.7451050319999997,0
102_1-96_1,32,0,0.0,0.6981245979999997,0
102_1-97_1,47,0,0.0,0.7302726789999996,0
102_1-99_2,10,0,0.0,0.6339059599999999,0
102_2-104_1,1,0,0.0,0.2701809849999996,0
102_2-107_1,1,0,0.0,0.2834008189999997,0
102_2-109_1,1,0,0.0,0.2315492319999998,0
102_2-10_1,4,0,0.0,2.353204383,0
102_2-10_2,2,0,0.0,2.3533202119999994,0
102_2-112_1,35,0,0.0,0.945873496,0
102_2-113_1,14,0,0.0,0.9078733309999998,0
102_2-114_1,4,0,0.0,0.9037193719999994,0
102_2-114_2,2,0,0.0,0.9034371279999998,0
102_2-116_1,5,0,0.0,0.9049539329999998,0
102_2-119_1,11,0,0.0,0.7901958349999996,0
102_2-120_1,4,0,0.0,0.7899945089999996,0
102_2-124_1,1,0,0.0,0.8600551309999998,0
102_2-125_1,1,0,0.0,0.8174338729999997,0
102_2-12_1,4,0,0.0,2.343101842999999,0
102_2-134_1,1,0,0.0,1.4271320289999996,0
102_2-14_1,5,0,0.0,2.4250053609999997,0
102_2-171_1,2,0,0.0,1.7820505499999997,1
102_2-176_1,5,0,0.0,1.3068844659999996,0
102_2-178_2,2,0,0.0,1.3963853959999994,0
102_2-20_1,12,0,0.0,2.665210259999999,0
102_2-223_1,3,0,0.0,0.8345776299999996,0
102_2-229_3,16,0,0.0,0.9213110839999992,0
102_2-240_1,1,0,0.0,0.963286228999999,0
102_2-252_1,1,0,0.0,1.4670916299999992,0
102_2-26_2,41,0,0.0,2.677688375,0
102_2-283_1,2,0,0.0,1.6346765319999994,0
102_2-290_1,2,0,0.0,1.677058081999999,1
102_2-297_1,2,0,0.0,0.9776381099999996,0
102_2-318_19,32,0,0.0,1.9489944309999996,0
102_2-318_21,3,0,0.0,1.9482704589999995,0
102_2-318_38,1,0,0.0,1.9504177429999996,0
102_2-318_39,3,0,0.0,1.9520394679999995,0
102_2-318_54,4,0,0.0,1.9512909539999996,0
102_2-318_56,41,0,0.0,1.9489144059999997,0
102_2-325_1,1,0,0.0,2.0180560469999995,0
102_2-326_1,16,0,0.0,1.998570092,0
102_2-32_1,120,0,0.0,2.5619510559999994,0
102_2-330_1,12,0,0.0,2.100890540999999,0
102_2-333_1,4,0,0.0,2.0663441959999997,0
102_2-334_1,53,0,0.0,2.082362356,0
102_2-334_3,7,0,0.0,2.0895087199999995,0
102_2-335_1,381,0,0.0,2.079565859,0
102_2-336_1,18,0,0.0,2.097554407,0
102_2-338_1,316,0,0.0,2.1137316409999998,0
102_2-36_1,1,0,0.0,2.579581576,0
102_2-39_2,8,0,0.0,2.566962645,0
102_2-39_3,4,0,0.0,2.573169759,0
102_2-39_5,17,0,0.0,2.571725641999999,0
102_2-42_1,4,0,0.0,2.5632175669999997,0
102_2-42_2,25,0,0.0,2.562425288,0
102_2-43_1,13,0,0.0,2.5690142979999995,0
102_2-44_1,30,0,0.0,2.574086435999999,0
102_2-44_3,48,0,0.0,2.5747968759999997,0
102_2-44_4,30,0,0.0,2.5833586019999992,0
102_2-45_1,157,0,0.0,2.654263188999999,0
102_2-46_1,50,0,0.0,2.522886564999999,0
102_2-47_2,2,0,0.0,2.5272960799999997,0
102_2-48_2,97,0,0.0,2.585108564999999,0
102_2-4_1,4,0,0.0,2.465443310999999,0
102_2-50_1,5,0,0.0,2.5800714819999992,0
102_2-51_1,1,0,0.0,2.582649711999999,0
102_2-55_1,3,0,0.0,2.102675778,1
102_2-62_1,10,0,0.0,2.1751979869999998,1
102_2-66_2,4,0,0.0,2.198501762,1
102_2-66_5,239,0,0.0,2.1966107419999994,1
102_2-69_1,1,0,0.0,2.193762697999999,1
102_2-74_1,2,0,0.0,2.189646435,1
102_2-8_1,4,0,0.0,2.3622412129999995,0
102_2-90_1,22,2,0.09090909090909091,0.7234347669999996,0
102_2-96_1,11,0,0.0,0.6985302149999999,0
102_2-97_1,39,0,0.0,0.7306782959999998,0
102_2-99_2,3,0,0.0,0.6343115770000001,0
102_2-9_2,2,0,0.0,2.357520107,0
103_1-335_1,36,0,0.0,2.0759962069999998,0
103_1-42_1,2,0,0.0,2.5596479149999998,0
103_1-43_1,4,0,0.0,2.565444646,0
103_1-44_3,2,0,0.0,2.571227224,0
103_1-45_1,4,0,0.0,2.650693536999999,0
103_1-48_2,2,0,0.0,2.5815389129999997,0
103_1-51_1,2,0,0.0,2.5790800599999995,0
103_1-66_5,20,0,0.0,2.1930410899999995,1
103_2-124_1,3,0,0.0,0.8557787640000001,0
103_2-149_1,2,0,0.0,1.7247238299999994,0
103_2-179_1,2,0,0.0,1.4371493039999996,0
